DC Number,Offense Date,Offense,Sentence Date,County,Case No.,Prison Sentence Length
071615,12/04/1978,1ST DG MUR/PREMED. OR ATT.,12/14/1979,PALM BEACH,7900167,DEATH SENTENCE
073045,05/11/1979,1ST DG MUR/PREMED. OR ATT.,04/25/1986,BREVARD,7900773,DEATH SENTENCE
073045,05/11/1979,KIDNAP;COMM.OR FAC.FELONY,04/25/1986,BREVARD,7900773,SENTENCED TO LIFE
073045,05/11/1979,SEX BAT BY ADULT/VCTM LT 12,04/25/1986,BREVARD,7900773,SENTENCED TO LIFE
073045,05/11/1979,BURGLARY ASSAULT ANY PERSON,04/25/1986,BREVARD,7900773,SENTENCED TO LIFE
072847,11/03/1979,ROBB. GUN OR DEADLY WPN,06/25/1980,DUVAL,7907229,4Y 0M 0D
072847,11/28/1977,BURG/DWELL/OCCUP.CONVEY,06/25/1980,DUVAL,7704192,4Y 0M 0D
072847,09/21/1982,ESCAPE,02/18/1983,DUVAL,8208621,3Y 0M 0D
072847,12/03/1985,1ST DG MUR/PREMED. OR ATT.,08/08/1986,DUVAL,8512620,DEATH SENTENCE
075812,12/28/1979,1ST DG MUR/PREMED. OR ATT.,10/21/1980,VOLUSIA,8000048,DEATH SENTENCE
075812,12/28/1979,BURGLARY ASSAULT ANY PERSON,10/21/1980,VOLUSIA,8000048,DEATH SENTENCE
322534,05/11/1980,BURGUNOCCSTRUC/CV OR ATT.,11/12/1980,ORANGE,8002047,4Y 0M 0D
322534,05/11/1980,AGG ASSLT-W/WPN NO INTENT TO K,11/12/1980,ORANGE,8002047,4Y 0M 0D
322534,08/08/1980,ESCAPE,11/12/1980,ORANGE,8003672,2Y 0M 0D
322534,06/20/1985,TRANSMIT CONTRABAND-PRISON,04/10/1986,DIXIE,8500130,15Y 0M 0D
322534,07/21/1987,AGG BATTERY/W/DEADLY WEAPON,03/23/1988,BRADFORD,8700278,5Y 0M 0D
322534,07/21/1987,INTRODUCE WEAPON/FIREARM,03/23/1988,BRADFORD,8700278,5Y 0M 0D
322534,03/23/1988,ESCAPE,11/02/1988,BRADFORD,8800158,8Y 0M 0D
322534,03/23/1988,BATT.LEO/FIRFGT/EMS/ETC.,11/02/1988,BRADFORD,8800158,5Y 0M 0D
322534,08/30/1988,CONSTRUC.POSSESS CONTRAB.,05/19/1989,BRADFORD,8800536,12Y 0M 0D
322534,04/09/1995,1ST DG MUR/PREMED. OR ATT.(ATTEMPTED),04/29/1997,BRADFORD,9500411,8Y 4M 11D
322534,04/09/1995,CONSTRUC.POSSESS CONTRAB.,04/02/1997,BRADFORD,9500411,8Y 4M 11D
322534,12/10/2008,1ST DG MUR/PREMED. OR ATT.,12/18/2012,CHARLOTTE,0900812,DEATH SENTENCE
322534,12/19/2011,"2ND DEG.MURD,DANGEROUS ACT(ATTEMPTED)",12/18/2012,CHARLOTTE,1102336,15Y 0M 0D
322534,12/19/2011,ROBB. GUN OR DEADLY WPN(ATTEMPTED),12/18/2012,CHARLOTTE,1102336,15Y 0M 0D
078081,01/16/1981,1ST DG MUR/PREMED. OR ATT.,05/01/1981,MARION,8100170,DEATH SENTENCE
083040,01/16/1981,1ST DG MUR/PREMED. OR ATT.,04/07/1982,BROWARD,8103047,DEATH SENTENCE
083040,01/16/1981,1ST DG MUR/PREMED. OR ATT.,04/07/1982,BROWARD,8103047,SENTENCED TO LIFE
083040,01/16/1981,1ST DG MUR/PREMED. OR ATT.,04/07/1982,BROWARD,8103047,SENTENCED TO LIFE
084582,01/14/1982,1ST DG MUR/PREMED. OR ATT.,05/24/1982,BROWARD,8200453,DEATH SENTENCE
084582,01/14/1982,"BURGLARY,ARMED W/EXP. OR WEAPO",05/24/1982,BROWARD,8200453,75Y 0M 0D
084582,12/29/1981,"BURGLARY,ARMED W/EXP. OR WEAPO",04/19/1984,BROWARD,8200484,45Y 0M 0D
084582,12/29/1981,ROBB. GUN OR DEADLY WPN,04/19/1984,BROWARD,8200484,45Y 0M 0D
084643,12/04/1981,ROBB. NO GUN/DDLY.WPN,06/21/1982,SANTA ROSA,8100548,15Y 0M 0D
084643,11/04/1988,1ST DG MUR/PREMED. OR ATT.,11/16/1989,SANTA ROSA,8800689,DEATH SENTENCE
084643,11/04/1988,ROBB. GUN OR DEADLY WPN,11/16/1989,SANTA ROSA,8800689,15Y 0M 0D
085488,10/12/1981,1ST DG MUR/PREMED. OR ATT.,08/13/1982,HILLSBOROUGH,8110517,DEATH SENTENCE
086006,03/26/1981,KIDNAP;COMM.OR FAC.FELONY,05/03/1982,BROWARD,8103680,5Y 0M 0D
086006,09/05/1981,1ST DG MUR/PREMED. OR ATT.,05/13/1982,BROWARD,8109310,DEATH SENTENCE
086006,05/15/1981,1ST DG MUR/PREMED. OR ATT.,09/20/1982,BROWARD,8110087,SENTENCED TO LIFE
087429,04/27/1982,1ST DG MUR/PREMED. OR ATT.,12/10/1982,PINELLAS,8209546,DEATH SENTENCE
087429,04/27/1982,ROBB. GUN OR DEADLY WPN,12/10/1982,PINELLAS,8209546,SENTENCED TO LIFE
087429,04/27/1982,KIDNAP;COMM.OR FAC.FELONY,12/10/1982,PINELLAS,8209546,SENTENCED TO LIFE
789049,04/27/1982,1ST DG MUR/PREMED. OR ATT.,01/11/1983,LAKE,8200912,
789049,04/27/1982,ROBB. GUN OR DEADLY WPN,01/11/1983,LAKE,8200912,10Y 0M 0D
789049,04/27/1982,KIDNAP;COMM.OR FAC.FELONY,01/11/1983,LAKE,8200912,10Y 0M 0D
088568,06/14/1982,1ST DG MUR/PREMED. OR ATT.,03/11/1983,BAY,8200661,DEATH SENTENCE
088568,06/14/1982,KIDNAP;COMM.OR FAC.FELONY,03/11/1983,BAY,8200661,SENTENCED TO LIFE
088568,06/14/1982,SEX BAT/ WPN. OR FORCE(ATTEMPTED),03/11/1983,BAY,8200661,15Y 0M 0D
088568,06/14/1982,ROBB. GUN OR DEADLY WPN,03/11/1983,BAY,8200661,SENTENCED TO LIFE
090411,10/18/1982,1ST DG MUR/PREMED. OR ATT.,07/08/1983,PINELLAS,8208683,DEATH SENTENCE
090411,03/29/1982,AGG ASSLT-W/WPN NO INTENT TO K,01/10/1983,PINELLAS,8202559,5Y 0M 0D
749768,02/06/1983,1ST DG MUR/PREMED. OR ATT.,09/23/1983,PUTNAM,8300376,DEATH SENTENCE
749768,02/06/1983,SEX BAT/ WPN. OR FORCE,09/23/1983,PUTNAM,8300376,99Y 0M 0D
749768,02/06/1983,BURG/DWELL/OCCUP.CONVEY,09/23/1983,PUTNAM,8300376,15Y 0M 0D
749768,02/06/1983,"GRAND THEFT,$300 LESS &20,000",09/23/1983,PUTNAM,8300376,5Y 0M 0D
490606,03/21/1983,ROBB. GUN OR DEADLY WPN,11/29/1983,PINELLAS,8303268,SENTENCED TO LIFE
490606,03/21/1983,1ST DG MUR/PREMED. OR ATT.,07/13/1990,PINELLAS,8302653,DEATH SENTENCE
490606,12/03/1988,ASSAULT BY INM W/N CO FACILITY,10/11/1990,PINELLAS,8817286,30Y 0M 0D
490606,10/21/1989,BATT.LEO/FIRFGT/EMS/ETC.,01/02/1991,PINELLAS,8917928,5Y 0M 0D
093094,03/31/1983,1ST DG MUR/PREMED. OR ATT.,03/05/1984,ORANGE,8301682,DEATH SENTENCE
093268,06/18/1982,1ST DG MUR/PREMED. OR ATT.,03/14/1984,PINELLAS,8300630,DEATH SENTENCE
093417,10/03/1966,1ST DG MUR/PREMED. OR ATT.,04/02/1984,HIGHLANDS,8100535,DEATH SENTENCE
716927,08/16/1983,1ST DG MUR/PREMED. OR ATT.,05/04/1984,PASCO,8301383,DEATH SENTENCE
716927,08/16/1983,ROBB. GUN OR DEADLY WPN,05/04/1984,PASCO,8301383,SENTENCED TO LIFE
716927,08/14/1983,ROBB. GUN OR DEADLY WPN,09/07/1984,LEE,8400728,10Y 0M 0D
716927,08/14/1983,KIDNAP;COMM.OR FAC.FELONY,09/07/1984,LEE,8300728,10Y 0M 0D
716927,08/14/1983,LARCENY/GRAND THEFT,09/07/1984,LEE,8300728,1Y 0M 0D
716927,08/14/1983,"2ND DEG.MURD,DANGEROUS ACT(ATTEMPTED)",09/07/1984,LEE,8400728,1Y 0M 0D
094506,05/05/1983,1ST DG MUR/PREMED. OR ATT.,06/08/1984,PINELLAS,8304924,DEATH SENTENCE
072002,09/29/1983,1ST DG MUR/PREMED. OR ATT.,11/14/1984,DUVAL,8308975,DEATH SENTENCE
648711,09/24/2006,ROBB. GUN OR DEADLY WPN(ATTEMPTED),05/10/2007,ALACHUA,0605259,15Y 0M 0D
648711,09/24/2006,FEL/DELI W/GUN/CONC WPN/AMMO,05/10/2007,ALACHUA,0605259,15Y 0M 0D
648711,10/05/2006,GRAND THEFT MOTOR VEHICLE,05/10/2007,ALACHUA,0605260,5Y 0M 0D
648711,09/28/2006,"BURGLARY,ARMED W/EXP. OR WEAPO",05/10/2007,ALACHUA,0605261,SENTENCED TO LIFE
648711,09/28/2006,KIDNAP;COMM.OR FAC.FELONY,05/10/2007,ALACHUA,0605261,SENTENCED TO LIFE
648711,09/28/2006,FEL/DELI W/GUN/CONC WPN/AMMO,05/10/2007,ALACHUA,0605261,15Y 0M 0D
648711,09/20/2006,ROBB. GUN OR DEADLY WPN,05/10/2007,ALACHUA,0700532,SENTENCED TO LIFE
648711,09/20/2006,FEL/DELI W/GUN/CONC WPN/AMMO,05/10/2007,ALACHUA,0700532,15Y 0M 0D
648711,09/20/2006,ROBB. GUN OR DEADLY WPN,05/10/2007,ALACHUA,0700585,SENTENCED TO LIFE
648711,09/20/2006,FEL/DELI W/GUN/CONC WPN/AMMO,05/10/2007,ALACHUA,0700585,15Y 0M 0D
648711,09/20/2006,ROBB. GUN OR DEADLY WPN,05/10/2007,ALACHUA,0700586,SENTENCED TO LIFE
648711,09/20/2006,FEL/DELI W/GUN/CONC WPN/AMMO,05/10/2007,ALACHUA,0700586,15Y 0M 0D
648711,10/05/2006,"CARJACK W/FA,DEADLY WEAPON",03/06/2007,MARION,0604213,SENTENCED TO LIFE
648711,10/04/2006,1ST DG MUR/PREMED. OR ATT.,10/19/2007,SAINT JOHNS,0601864,DEATH SENTENCE
648711,10/04/2006,1ST DG MUR/PREMED. OR ATT.,10/19/2007,SAINT JOHNS,0601864,DEATH SENTENCE
910610,08/12/1984,1ST DG MUR/PREMED. OR ATT.,07/30/1985,LEON,8402324,DEATH SENTENCE
910610,08/12/1984,KIDNAP;COMM.OR FAC.FELONY,07/30/1985,LEON,8402324,SENTENCED TO LIFE
910610,08/12/1984,ROBB. NO GUN/DDLY.WPN,07/30/1985,LEON,8402324,15Y 0M 0D
910610,08/12/1984,ARSON WILLFUL DAMA.DWELLING,07/30/1985,LEON,8402324,15Y 0M 0D
910610,11/07/1983,BURG/DWELL/OCCUP.CONVEY(ATTEMPTED),06/23/1987,LEON,8302939,10Y 0M 0D
099269,02/29/1984,1ST DG MUR/PREMED. OR ATT.,09/12/1985,PINELLAS,8403982,DEATH SENTENCE
101660,05/28/1984,BURG/DWELL/OCCUP.CONVEY,03/13/1986,PALM BEACH,8403459,5Y 0M 0D
101660,02/09/1984,"BURGLARY,ARMED W/EXP. OR WEAPO",03/13/1986,PALM BEACH,8404001,SENTENCED TO LIFE
101660,02/09/1984,1ST DG MUR/PREMED. OR ATT.(ATTEMPTED),03/13/1986,PALM BEACH,8404001,SENTENCED TO LIFE
101660,03/24/1984,1ST DG MUR/PREMED. OR ATT.,03/13/1986,PALM BEACH,8404014,DEATH SENTENCE
101660,03/24/1984,SEX BAT/ WPN. OR FORCE(ATTEMPTED),03/13/1986,PALM BEACH,8404014,15Y 0M 0D
101660,03/24/1984,"BURGLARY,ARMED W/EXP. OR WEAPO",03/13/1986,PALM BEACH,8404014,SENTENCED TO LIFE
101660,05/29/1984,1ST DG MUR/PREMED. OR ATT.,03/13/1986,PALM BEACH,8404000,DEATH SENTENCE
101660,05/29/1984,SEX BAT/ WPN. OR FORCE,03/13/1986,PALM BEACH,8404000,SENTENCED TO LIFE
101660,05/29/1984,"BURGLARY,ARMED W/EXP. OR WEAPO",03/13/1986,PALM BEACH,8404000,SENTENCED TO LIFE
101660,05/24/1984,BURGLARY ASSAULT ANY PERSON,07/31/1986,PALM BEACH,8404003,SENTENCED TO LIFE
101660,07/04/1984,ESCAPE(ATTEMPTED),07/31/1986,PALM BEACH,8404261,15Y 0M 0D
648254,08/10/1984,ESCAPE,03/14/1985,MIAMI-DADE,8418638,7Y 0M 0D
648254,12/02/1983,KIDNAP;COMM.OR FAC.FELONY,05/07/1986,MIAMI-DADE,8323746,13Y 0M 0D
648254,12/02/1983,SEX BAT/INJURY NOT LIKELY,05/07/1986,MIAMI-DADE,8323746,13Y 0M 0D
648254,07/20/1984,ROBB. GUN OR DEADLY WPN,05/07/1986,MIAMI-DADE,8416823,13Y 0M 0D
648254,06/29/1984,ROBB. GUN OR DEADLY WPN,05/07/1986,MIAMI-DADE,8423078,13Y 0M 0D
648254,11/01/1988,"1ST DEG MUR,COM.OF FELONY",12/12/1989,MARTIN,8900174,DEATH SENTENCE
073283,05/15/1977,ROBB. GUN OR DEADLY WPN,05/06/1986,MIAMI-DADE,7725553,10Y 0M 0D
073283,07/08/1982,CARRYING CONCEALED FIREARM,05/06/1986,MIAMI-DADE,8216613,5Y 0M 0D
073283,07/08/1982,GRAND THEFT MOTOR VEHICLE,05/06/1986,MIAMI-DADE,8216613,5Y 0M 0D
073283,11/22/1985,ROBB. GUN OR DEADLY WPN,05/06/1986,MIAMI-DADE,8530255,10Y 0M 0D
073283,11/22/1985,THREATENS TO USE ANY FIREARM,05/06/1986,MIAMI-DADE,8530255,5Y 0M 0D
073283,06/17/1985,BURGUNOCCSTRUC/CV OR ATT.,06/30/1986,BROWARD,8507354,5Y 0M 0D
073283,06/17/1985,BURGLARY TOOLS-POSSESS,06/30/1986,BROWARD,8507354,5Y 0M 0D
073283,08/28/1986,ESCAPE,05/04/1992,MIAMI-DADE,8625360,15Y 0M 0D
073283,10/05/1988,ROBB. GUN OR DEADLY WPN,05/04/1992,MIAMI-DADE,8902711,30Y 0M 0D
073283,10/05/1988,KIDNAP;COMM.OR FAC.FELONY,05/04/1992,MIAMI-DADE,8902711,30Y 0M 0D
073283,10/05/1988,POSS.FIREARM BY FELON,05/04/1992,MIAMI-DADE,8902711,15Y 0M 0D
073283,10/05/1988,AGG ASSLT-W/WPN NO INTENT TO K,05/04/1992,MIAMI-DADE,8902711,5Y 0M 0D
073283,10/05/1988,POSS.FIREARM BY FELON,05/04/1992,MIAMI-DADE,8902711,15Y 0M 0D
073283,10/05/1988,CARRYING CONCEALED FIREARM,05/04/1992,MIAMI-DADE,8902711,5Y 0M 0D
073283,09/14/1988,KIDNAP;COMM.OR FAC.FELONY,05/04/1992,MIAMI-DADE,8902712,30Y 0M 0D
073283,09/14/1988,ROBB. GUN OR DEADLY WPN,05/04/1992,MIAMI-DADE,8902712,30Y 0M 0D
073283,09/14/1988,CARRYING CONCEALED FIREARM,05/04/1992,MIAMI-DADE,8902712,5Y 0M 0D
073283,09/14/1988,POSS.FIREARM BY FELON,05/04/1992,MIAMI-DADE,8902712,15Y 0M 0D
073283,01/19/1989,KIDNAP;COMM.OR FAC.FELONY,05/04/1992,MIAMI-DADE,8902713,30Y 0M 0D
073283,01/19/1989,ROBB. GUN OR DEADLY WPN,05/04/1992,MIAMI-DADE,8902713,30Y 0M 0D
073283,01/19/1989,AGG ASSLT-W/WPN NO INTENT TO K,05/04/1992,MIAMI-DADE,8902713,5Y 0M 0D
073283,01/19/1989,CARRYING CONCEALED FIREARM,05/04/1992,MIAMI-DADE,8902713,5Y 0M 0D
073283,01/19/1989,POSS.FIREARM BY FELON,05/04/1992,MIAMI-DADE,8902713,15Y 0M 0D
073283,01/03/1989,KIDNAP;COMM.OR FAC.FELONY,05/04/1992,MIAMI-DADE,8903089,30Y 0M 0D
073283,01/03/1989,ROBB. GUN OR DEADLY WPN,05/04/1992,MIAMI-DADE,8903089,30Y 0M 0D
073283,01/03/1989,AGG ASSLT-W/WPN NO INTENT TO K,05/04/1992,MIAMI-DADE,8903089,5Y 0M 0D
073283,01/03/1989,CARRYING CONCEALED FIREARM,05/04/1992,MIAMI-DADE,8903089,5Y 0M 0D
073283,01/03/1989,POSS.FIREARM BY FELON,05/04/1992,MIAMI-DADE,8903089,15Y 0M 0D
073283,03/17/1988,KIDNAP;COMM.OR FAC.FELONY,05/04/1992,MIAMI-DADE,8903090,30Y 0M 0D
073283,03/17/1988,ROBB. GUN OR DEADLY WPN,05/04/1992,MIAMI-DADE,8903090,30Y 0M 0D
073283,03/17/1988,AGG ASSLT-W/WPN NO INTENT TO K,05/04/1992,MIAMI-DADE,8903090,5Y 0M 0D
073283,03/17/1988,CARRYING CONCEALED FIREARM,05/04/1992,MIAMI-DADE,8903090,5Y 0M 0D
073283,03/17/1988,POSS.FIREARM BY FELON,05/04/1992,MIAMI-DADE,8903090,15Y 0M 0D
073283,01/11/1989,ROBB. GUN OR DEADLY WPN,05/04/1992,MIAMI-DADE,8903204,30Y 0M 0D
073283,01/11/1989,KIDNAP;COMM.OR FAC.FELONY,05/04/1992,MIAMI-DADE,8903204,30Y 0M 0D
073283,01/11/1989,POSS.FIREARM BY FELON,05/04/1992,MIAMI-DADE,8903204,15Y 0M 0D
073283,01/11/1989,CARRYING CONCEALED FIREARM,05/04/1992,MIAMI-DADE,8903204,5Y 0M 0D
073283,04/30/1988,ROBB. GUN OR DEADLY WPN,05/04/1992,MIAMI-DADE,8903205,30Y 0M 0D
073283,04/30/1988,KIDNAP;COMM.OR FAC.FELONY,05/04/1992,MIAMI-DADE,8903205,30Y 0M 0D
073283,04/30/1988,AGG ASSLT-W/WPN NO INTENT TO K,05/04/1992,MIAMI-DADE,8903205,5Y 0M 0D
073283,04/30/1988,CARRYING CONCEALED FIREARM,05/04/1992,MIAMI-DADE,8903205,5Y 0M 0D
073283,04/30/1988,POSS.FIREARM BY FELON,05/04/1992,MIAMI-DADE,8903205,15Y 0M 0D
073283,11/14/1988,KIDNAP;COMM.OR FAC.FELONY,05/04/1992,MIAMI-DADE,8903266,30Y 0M 0D
073283,11/14/1988,ROBB. GUN OR DEADLY WPN,05/04/1992,MIAMI-DADE,8903266,30Y 0M 0D
073283,11/14/1988,CARRYING CONCEALED FIREARM,05/04/1992,MIAMI-DADE,8903266,5Y 0M 0D
073283,11/14/1988,POSS.FIREARM BY FELON,05/04/1992,MIAMI-DADE,8903266,15Y 0M 0D
073283,11/11/1988,KIDNAP;COMM.OR FAC.FELONY,05/04/1992,MIAMI-DADE,8903442,30Y 0M 0D
073283,11/11/1988,ROBB. GUN OR DEADLY WPN,05/04/1992,MIAMI-DADE,8903442,30Y 0M 0D
073283,11/11/1988,CARRYING CONCEALED FIREARM,05/04/1992,MIAMI-DADE,8903442,5Y 0M 0D
073283,11/11/1988,POSS.FIREARM BY FELON,05/04/1992,MIAMI-DADE,8903442,15Y 0M 0D
073283,02/20/1988,ROBB. GUN OR DEADLY WPN,05/04/1992,MIAMI-DADE,8903624,30Y 0M 0D
073283,02/20/1988,AGG ASSLT-W/WPN NO INTENT TO K,05/04/1992,MIAMI-DADE,8903624,5Y 0M 0D
073283,02/20/1988,POSS.FIREARM BY FELON,05/04/1992,MIAMI-DADE,8903624,15Y 0M 0D
073283,02/20/1988,KIDNAP;COMM.OR FAC.FELONY,05/04/1992,MIAMI-DADE,8903624,5Y 0M 0D
073283,02/20/1988,KIDNAP;COMM.OR FAC.FELONY,05/04/1992,MIAMI-DADE,8903624,30Y 0M 0D
073283,12/04/1984,"1ST DEG MUR,COM.OF FELONY",10/24/1996,MIAMI-DADE,9325817,DEATH SENTENCE
073283,12/04/1984,"1ST DEG MUR,COM.OF FELONY",10/24/1996,MIAMI-DADE,9325817,DEATH SENTENCE
073283,12/04/1984,"1ST DEG MUR,COM.OF FELONY",10/24/1996,MIAMI-DADE,9325817,DEATH SENTENCE
073283,12/04/1984,BURGLARY ASSAULT ANY PERSON,10/24/1996,MIAMI-DADE,9325817,SENTENCED TO LIFE
102992,02/23/1985,1ST DG MUR/PREMED. OR ATT.,06/20/1986,INDIAN RIVER,8600322,DEATH SENTENCE
102992,02/23/1985,1ST DG MUR/PREMED. OR ATT.,06/20/1986,INDIAN RIVER,8600322,DEATH SENTENCE
479774,12/06/1984,1ST DG MUR/PREMED. OR ATT.,10/03/1986,HILLSBOROUGH,8505667,SENTENCED TO LIFE
479774,04/14/1985,1ST DG MUR/PREMED. OR ATT.,10/03/1986,HILLSBOROUGH,8504825,DEATH SENTENCE
479774,04/14/1985,"2ND DEG.MURD,DANGEROUS ACT(ATTEMPTED)",10/03/1986,HILLSBOROUGH,8504025,15Y 0M 0D
479774,04/14/1985,ROBB. GUN OR DEADLY WPN,10/03/1986,HILLSBOROUGH,8504025,27Y 0M 0D
479774,04/14/1985,ARSON WILLFUL DAMA.DWELLING,10/03/1986,HILLSBOROUGH,8504025,15Y 0M 0D
479774,12/06/1984,"ARSON,WILLFUL DAMA.STRUCT.",10/03/1986,HILLSBOROUGH,8506167,15Y 0M 0D
479774,09/05/1983,CARRYING CONCEALED FIREARM,10/03/1986,HILLSBOROUGH,8310683,5Y 0M 0D
479774,06/08/1984,ESCAPE,10/03/1986,HILLSBOROUGH,8406668,30Y 0M 0D
479774,04/19/1985,1ST DG MUR/PREMED. OR ATT.(ATTEMPTED),10/03/1986,HILLSBOROUGH,8504023,22Y 0M 0D
479774,04/19/1985,ROBB. GUN OR DEADLY WPN(ATTEMPTED),10/03/1986,HILLSBOROUGH,8504023,22Y 0M 0D
479774,08/15/1985,ESCAPE,10/03/1986,HILLSBOROUGH,8509033,30Y 0M 0D
479774,04/19/1985,POSS.FIREARM BY FELON,10/03/1986,HILLSBOROUGH,8504173,15Y 0M 0D
479774,04/19/1985,POSS.FIREARM BY FELON,10/03/1986,HILLSBOROUGH,8504173,15Y 0M 0D
479774,04/19/1985,AGG ASSLT-W/WPN NO INTENT TO K(ACCESSORY TO ATTEMPT),10/03/1986,HILLSBOROUGH,8504384,5Y 0M 0D
479774,06/23/1988,ESCAPE(ATTEMPTED),11/06/1989,BRADFORD,8800362,3Y 6M 0D
105661,02/27/1986,1ST DG MUR/PREMED. OR ATT.,01/09/1987,DUVAL,8606123,DEATH SENTENCE
105661,02/27/1986,SEX BAT/ WPN. OR FORCE,01/09/1987,DUVAL,8606123,22Y 0M 0D
105661,02/27/1986,ROBB. GUN OR DEADLY WPN,01/09/1987,DUVAL,8606123,9Y 0M 0D
092501,08/18/1983,SEX BAT/ WPN. OR FORCE,01/27/1987,BAY,8301056,17Y 0M 0D
092501,08/18/1983,BURGLARY ASSAULT ANY PERSON,01/27/1987,BAY,8301056,17Y 0M 0D
092501,03/31/1986,"1ST DEG MUR,COM.OF FELONY",08/11/1992,BAY,8600940,DEATH SENTENCE
092501,03/31/1986,BURGLARY ASSAULT ANY PERSON,08/11/1992,BAY,8600940,SENTENCED TO LIFE
092501,03/31/1986,SEX BAT/ WPN. OR FORCE(ATTEMPTED),08/11/1992,BAY,8600940,30Y 0M 0D
092501,03/31/1986,ROBB. GUN OR DEADLY WPN,08/11/1992,BAY,8600940,SENTENCED TO LIFE
106014,07/01/1985,1ST DG MUR/PREMED. OR ATT.,01/30/1987,PINELLAS,8508933,DEATH SENTENCE
106014,07/01/1985,ROBB. GUN OR DEADLY WPN,01/30/1987,PINELLAS,8508933,SENTENCED TO LIFE
106014,07/01/1985,GRAND THEFT MOTOR VEHICLE,01/30/1987,PINELLAS,8508933,5Y 0M 0D
019762,03/20/1986,1ST DG MUR/PREMED. OR ATT.,03/02/1987,HILLSBOROUGH,8604084,DEATH SENTENCE
019762,03/20/1986,BURGLARY ASSAULT ANY PERSON,03/02/1987,HILLSBOROUGH,8604084,SENTENCED TO LIFE
019762,03/20/1986,1ST DG MUR/PREMED. OR ATT.(ATTEMPTED),03/02/1987,HILLSBOROUGH,8604084,30Y 0M 0D
019762,03/20/1986,ROBB. GUN OR DEADLY WPN,10/06/1986,HILLSBOROUGH,8604083,30Y 0M 0D
